Numero,Nom,Type1,Type2,PV,Attaque,Defense,Attaque_speciale,Defense_speciale,Vitesse,Legendaire
486,Regigigas,Normal,,110,160,110,80,110,100,True
487,Giratina,Spectre,Dragon,150,100,120,100,120,90,True
488,Créfollet,Psy,,120,70,120,75,130,85,False
489,Phione,Eau,,80,80,80,80,80,80,False
490,Manaphy,Eau,,100,100,100,100,100,100,False
491,Darkrai,Ténèbres,,70,90,90,135,90,125,True
492,Shaymin,Plante,,100,100,100,100,100,100,True
493,Arceus,Normal,,120,120,120,120,120,120,True
494,Victini,Psy,Feu,100,100,100,100,100,100,True
495,Vipélierre,Plante,,45,45,55,45,55,63,False
496,Lianaja,Plante,,60,60,75,60,75,83,False
497,Majaspic,Plante,,75,75,95,75,95,113,False
498,Gruikui,Feu,,65,63,45,45,45,45,False
499,Grotichon,Feu,Combat,90,93,55,70,55,55,False
500,Flamboarg,Feu,Combat,110,123,65,100,65,65,False
501,Moustillon,Eau,,55,55,45,63,45,45,False
502,Moniard,Eau,,75,75,60,83,60,60,False
503,Samorande,Eau,,95,100,85,108,70,70,False
504,Ratentif,Normal,,45,55,39,35,39,42,False
505,Guerilosse,Normal,,60,85,69,60,69,77,False
506,Ponchiot,Normal,,45,60,45,25,45,55,False
507,Ponchien,Normal,,65,80,65,35,65,60,False
508,Mastouffe,Normal,,85,110,90,45,90,80,False
509,Chafouine,Ténèbres,,41,50,37,50,37,66,False
510,Léopardus,Ténèbres,,64,88,50,88,50,106,False
511,Feuillajou,Plante,,50,53,48,53,48,64,False
512,Feuiloutan,Plante,,75,98,63,98,63,101,False
513,Flamajou,Feu,,50,53,48,53,48,64,False
514,Flamoutan,Feu,,75,98,63,98,63,101,False
515,Aquajou,Eau,,50,53,48,53,48,64,False
516,Aquoutan,Eau,,75,98,63,98,63,101,False
517,Munna,Psy,,76,25,45,67,55,24,False
518,Musharna,Psy,,116,55,85,107,95,29,False
519,Poichigeon,Normal,Vol,50,55,50,36,30,43,False
520,Colombeau,Normal,Vol,62,77,62,50,42,65,False
521,Déflaisan,Normal,Vol,80,115,80,65,55,93,False
522,Zébibron,Électrik,,45,60,32,50,32,76,False
523,Zébstrika,Électrik,,75,100,63,80,63,116,False
524,Minidrille,Roche,,55,75,85,25,25,15,False
525,Bouldorome,Roche,,70,105,105,50,40,20,False
526,Gigalithe,Roche,,85,135,130,60,80,25,False
527,Noviber,Psy,Vol,55,45,43,55,43,72,False
528,Mievibelle,Psy,Vol,67,57,55,77,55,114,False
529,Fouinidor,Sol,,60,85,40,30,45,68,False
530,Minotaupe,Sol,Acier,110,135,60,50,65,88,False
531,Nanméouïe,Normal,,103,60,86,60,86,50,False
532,Trépas,Combat,,75,80,55,25,35,35,False
533,Machopeur,Combat,,85,105,85,40,50,40,False
534,Mackogneur,Combat,,105,140,95,55,65,45,False
535,Têtarte,Eau,,50,50,40,50,40,64,False
536,Batracné,Eau,Sol,75,65,55,65,55,69,False
537,Crapustule,Eau,Sol,105,95,75,85,75,74,False
538,Judokrak,Combat,,120,100,85,30,85,45,False
539,Karaclée,Combat,,75,125,75,30,75,85,False
540,Larveyette,Insecte,Plante,45,53,70,40,60,42,False
541,Couverdure,Insecte,Plante,55,63,90,50,80,42,False
542,Manternel,Insecte,Plante,75,103,80,70,80,92,False
543,Venipède,Insecte,Poison,30,45,59,30,39,57,False
544,Spikoulo,Insecte,Poison,40,55,99,40,79,47,False
545,Brutapode,Insecte,Poison,60,100,89,55,69,112,False
546,Doudouvet,Plante,Fée,40,27,60,37,50,66,False
547,Farfaduvet,Plante,Fée,60,67,85,77,75,116,False
548,Chlorobule,Plante,,45,35,50,70,50,30,False
549,Fragilady,Plante,,70,60,75,110,75,90,False
550,Bargantua,Eau,,70,92,65,80,55,98,False
551,Dynavolt,Sol,Ténèbres,50,72,35,35,35,65,False
552,Esturgeon,Sol,Ténèbres,60,82,45,45,45,74,False
553,Esturgeon,Sol,Ténèbres,95,117,80,65,70,92,False
554,Darumacho,Feu,,70,90,45,15,45,50,False
555,Darumacho,Feu,,105,140,55,30,55,95,False
556,Maractus,Plante,,75,86,67,106,67,60,False
557,Crabicoque,Insecte,Roche,50,65,85,35,35,55,False
558,Crabiglace,Insecte,Roche,70,95,125,65,75,45,False
559,Baggaïd,Ténèbres,Combat,50,75,70,35,70,48,False
560,Baggaïd,Ténèbres,Combat,65,90,115,45,115,58,False
561,Cryptéclipse,Psy,Vol,72,58,80,103,80,97,False
562,Tutétékri,Spectre,,38,30,85,55,65,30,False
563,Tutankafer,Spectre,,58,50,145,95,105,30,False
564,Carapagos,Eau,Roche,54,78,103,53,45,22,False
565,Caracaract,Eau,Roche,74,108,133,83,65,32,False
566,Archéoptéryx,Roche,Vol,55,112,45,74,45,70,False
567,Archéoptéryx,Roche,Vol,75,140,65,112,65,110,False
568,Grotadmorv,Poison,,50,50,62,40,62,65,False
569,Miamiasme,Poison,,80,95,82,60,82,75,False
570,Zoroark,Ténèbres,,40,65,40,80,40,65,False
571,Zoroark,Ténèbres,,60,105,60,120,60,105,False
572,Chinchidou,Normal,,55,50,40,40,40,75,False
573,Pashmilla,Normal,,75,95,60,65,60,115,False
574,Gothita,Psy,,45,30,50,55,65,45,False
575,Gothorita,Psy,,60,45,70,75,85,55,False
576,Gothitelle,Psy,,70,55,95,95,110,65,False
577,Solasis,Psy,,45,30,40,105,50,20,False
578,Duosion,Psy,,65,40,50,125,60,30,False
579,Symbios,Psy,,110,65,75,125,85,30,False
580,Canarbello,Eau,Vol,62,44,50,44,50,55,False
581,Lakmécygne,Eau,Vol,75,87,63,87,63,98,False
582,Sorbébé,Glace,,36,50,50,65,60,44,False
583,Sorboïde,Glace,,51,65,65,80,75,59,False
584,Sorbouboul,Glace,,71,95,85,110,95,79,False
585,Vivaldaim,Normal,Plante,60,60,50,40,50,75,False
586,Vivaldaim,Normal,Plante,80,100,70,60,70,95,False
587,Emolga,Électrik,Vol,55,75,60,75,60,103,False
588,Carabing,Insecte,,50,75,45,40,45,60,False
589,Lançargot,Insecte,Acier,70,135,105,60,105,20,False
590,Trompignon,Plante,Poison,69,55,45,55,55,15,False
591,Trompigus,Plante,Poison,114,85,70,85,80,30,False
592,Médusinge,Eau,Spectre,55,40,50,65,85,40,False
593,Moyade,Eau,Spectre,100,60,70,85,105,60,False
594,Alomamou,Eau,,165,75,80,40,45,65,False
595,Statitik,Insecte,Électrik,50,47,50,57,50,65,False
596,Mygavolt,Insecte,Électrik,70,77,60,97,60,108,False
597,Grindur,Plante,Acier,44,50,91,24,86,10,False
598,Noacier,Plante,Acier,74,94,131,54,116,20,False
599,Klikling,Acier,,40,55,70,45,60,30,False
600,Klikbank,Acier,,60,80,95,70,85,50,False
601,Klikouïk,Acier,,60,100,115,70,85,90,False
602,Anchwatt,Électrik,,35,55,40,45,40,60,False
603,Élekfik,Électrik,,65,85,70,75,70,40,False
604,Teslate,Électrik,,85,115,80,105,80,50,False
605,Lewsor,Psy,,55,55,55,85,55,30,False
606,Neitram,Psy,,75,75,75,125,95,40,False
607,Funécire,Spectre,Feu,50,30,55,65,55,20,False
608,Mélancolux,Spectre,Feu,60,40,60,95,60,55,False
609,Lugulabre,Spectre,Feu,60,55,90,145,90,80,False
610,Coupenotte,Dragon,,46,87,60,30,40,57,False
611,Incisache,Dragon,,66,117,70,40,50,67,False
612,Tranchodon,Dragon,,76,147,90,60,70,97,False
613,Polarhume,Glace,,55,70,40,60,40,40,False
614,Beartic,Glace,,95,110,80,70,80,50,False
615,Cryogonal,Glace,,70,50,30,95,135,105,False
616,Escargaume,Insecte,,50,40,85,40,65,25,False
617,Libégon,Insecte,,80,70,40,100,60,145,False
618,Limonde,Sol,Électrik,109,66,84,81,99,32,False
619,Vigoroth,Combat,,45,85,50,55,50,65,False
620,Vigoroth,Combat,,65,125,60,95,60,105,False
621,Drakkarmin,Dragon,,77,120,90,60,90,48,False
622,Golgopaix,Sol,Spectre,59,74,50,35,50,35,False
623,Golemastoc,Sol,Spectre,89,124,80,55,80,55,False
624,Scalpion,Ténèbres,Acier,45,85,70,40,40,60,False
625,Scalproie,Ténèbres,Acier,65,125,100,60,70,70,False
626,Frison,Normal,,95,110,95,40,95,55,False
627,Minccino,Normal,Vol,70,83,50,37,50,60,False
628,Guerilosse,Normal,Vol,100,123,75,57,75,80,False
629,Vaututrice,Ténèbres,Vol,70,55,75,45,65,60,False
630,Vaututrice,Ténèbres,Vol,110,65,105,55,95,80,False
631,Aflamanoir,Feu,,85,97,66,105,66,65,False
632,Fermite,Insecte,Acier,58,109,112,48,48,109,False
633,Déino,Ténèbres,Dragon,52,65,50,45,50,38,False
634,Zweilous,Ténèbres,Dragon,72,85,70,65,70,58,False
635,Trioxhydre,Ténèbres,Dragon,92,105,90,125,90,98,False
636,Pyrax,Insecte,Feu,55,85,55,50,55,60,False
637,Pyrax,Insecte,Feu,85,60,65,135,105,100,False
638,Cobalion,Acier,Combat,91,90,129,90,72,108,True
639,Terrakion,Roche,Combat,91,129,90,72,90,108,True
640,Virizion,Plante,Combat,91,90,72,90,129,108,True
641,Tornade,Vol,,79,115,70,125,80,111,True
642,Fulguris,Électrik,Vol,79,115,70,125,80,111,True
643,Reshiram,Dragon,Feu,100,120,100,150,120,90,True
644,Zekrom,Dragon,Électrik,100,150,120,120,100,90,True
645,Démétéros,Sol,Vol,89,125,90,115,80,101,True
646,Kyurem,Dragon,Glace,125,130,90,130,90,95,True
647,Keldeo,Eau,Combat,91,72,90,129,90,108,False
648,Méloetta,Normal,Psy,100,77,77,128,128,90,False
649,Génesect,Insecte,Acier,71,120,95,120,95,99,False
650,Marisson,Plante,,56,61,65,48,45,38,False
651,Brocélôme,Plante,,61,78,95,56,58,57,False
652,Blindépique,Plante,Combat,88,107,122,74,75,64,False
653,Feunnec,Feu,,40,45,40,62,60,60,False
654,Roussil,Feu,,59,59,58,90,70,73,False
655,Goupelin,Feu,Psy,75,69,72,114,100,104,False
656,Grenousse,Eau,,41,56,40,62,44,71,False
657,Croâporal,Eau,,54,63,52,83,56,97,False
658,Amphinobi,Eau,Ténèbres,72,95,67,103,71,122,False
659,Sapereau,Normal,,38,36,38,32,36,57,False
660,Terracool,Normal,Sol,85,56,77,50,77,78,False
661,Passerouge,Normal,Vol,45,50,43,40,38,62,False
662,Braisillon,Feu,Vol,62,73,55,56,52,84,False
663,Flambusard,Feu,Vol,78,81,71,74,69,126,False
664,Légerdus,Insecte,,38,35,40,27,25,35,False
665,Léger,Insecte,,45,22,60,27,30,29,False
666,Prismillon,Insecte,Vol,80,52,50,90,50,89,False
667,Litleo,Feu,Normal,62,50,58,73,54,72,False
668,Pyroar,Feu,Normal,86,68,72,109,66,106,False
669,Flabébé,Fée,,44,38,39,61,79,42,False
670,Floette,Fée,,54,45,47,75,98,52,False
671,Florges,Fée,,78,65,68,112,154,75,False
672,Cabriolé,Plante,,66,65,48,62,57,52,False
673,Gogoat,Plante,,123,100,62,97,81,68,False
674,Pandespiègle,Combat,,67,82,62,46,48,43,False
675,Pandarbare,Combat,Ténèbres,95,124,78,69,71,58,False
676,Furfrou,Normal,,75,80,60,65,90,102,False
677,Psystigri,Psy,,62,48,54,63,60,68,False
678,Mistigrix,Psy,,74,48,76,83,81,104,False
679,Monorpale,Acier,Spectre,45,80,100,35,37,28,False
680,Duoblade,Acier,Spectre,59,110,150,45,49,35,False
681,Exagide,Acier,Spectre,60,150,50,150,50,60,False
682,Fluvetin,Fée,,78,52,60,63,65,23,False
683,Aromatisse,Fée,,101,72,72,99,89,29,False
684,Sucroquin,Fée,,62,48,66,59,57,49,False
685,Sucroquin,Fée,,82,80,86,85,75,72,False
686,Sepiatop,Ténèbres,Psy,53,54,53,37,46,45,False
687,Sepiatroce,Ténèbres,Psy,86,92,88,68,75,73,False
688,Opermine,Roche,Eau,42,52,67,39,56,50,False
689,Barbaracier,Roche,Eau,72,105,115,54,86,68,False
690,Venalgue,Poison,Eau,50,60,60,60,60,30,False
691,Dracoalgue,Poison,Dragon,65,75,90,97,123,44,False
692,Clauncher,Eau,,50,53,62,58,63,44,False
693,Clawitzer,Eau,,71,73,88,120,89,59,False
694,Hélionceau,Électrik,Normal,44,38,33,61,43,70,False
695,Hélionceau,Électrik,Normal,62,55,52,109,94,109,False
696,Tss,Roche,Dragon,58,89,77,45,45,48,False
697,Tss,Roche,Dragon,82,121,119,69,59,71,False
698,Amagara,Roche,Glace,77,59,50,67,63,46,False
699,Amagara,Roche,Glace,123,77,72,99,92,58,False
700,Nymphali,Fée,,95,65,65,110,130,60,False
701,Brutalibre,Combat,Vol,78,92,75,74,63,118,False
702,Dedenne,Électrik,Fée,67,58,57,81,67,101,False
703,Strassie,Roche,Fée,50,50,150,50,150,50,False
704,Mucuscule,Dragon,,45,50,35,55,75,40,False
705,Colimucus,Dragon,,68,75,53,83,113,60,False
706,Muplodocus,Dragon,,90,100,70,110,150,80,False
707,Trousselin,Acier,Fée,57,80,91,80,87,75,False
708,Brocélome,Spectre,Plante,43,70,48,50,60,38,False
709,Sylveroy,Spectre,Plante,85,110,76,65,82,56,False
710,Pitrouille,Spectre,Plante,49,66,70,44,55,51,False
711,Gauchodrac,Spectre,Plante,65,90,122,58,75,84,False
712,Cubalabre,Glace,,55,69,85,32,35,28,False
713,Séracrawl,Glace,,95,117,184,44,46,28,False
714,Sonistrelle,Vol,Dragon,40,30,35,45,40,55,False
715,Bruyverne,Vol,Dragon,85,70,80,97,80,123,False
716,Xerneas,Fée,,126,131,95,131,98,99,True
717,Yveltal,Ténèbres,Vol,126,131,95,131,98,99,True
718,Zygarde,Dragon,Sol,108,100,121,81,95,95,True
719,Diancie,Roche,Fée,50,100,150,100,150,50,True
720,Hoopa,Psy,Spectre,80,110,60,150,130,70,True
721,Volcanion,Feu,Eau,80,110,120,130,90,70,True
